ReleaseSeq,ReleaseProjectName,RD Release Notes
1,ResourceGroupClient-20190417-1100.exe,Cancel button fix
2,ResourceGroupClient-20190417-1108.exe,Fix New button error
3,ResourceGroupClient-20190417-1114.exe,disable Tcombobox for time list
4,ResourceGroupClient-20190417-1330.exe,Recommit Grid checkbox bug
5,ResourceGroupClient-20190417-1336.exe,close search form when double click a row with 'Close On Go' turned ON
6,ResourceGroupClient-20190417-1546.exe,fix error 'Linkfields to detail must be unique.' in new mode when add resources
7,ResourceGroupClient-20190417-1600.exe,Fix ok button enable state in add form
8,ResourceGroupClient-20190417-1610.exe,"Fix navigation button state when do new, cancel "
9,ResourceGroupClient-20190418-1448.exe,clean previous searching result when launching Search form for the second time
10,ResourceGroupClient-20190417-1620.exe,make order by and goto work. Also remenber the order by selection when reopen
11,ResourceGroupClient-20190417-1700.exe,Coding standard enhancement
12,ResourceGroupClient-20190418-1736.exe,refresh search grid correctly when switching search filters
13,ResourceGroupClient-20190418-1827.exe,convert and save time
14,ResourceGroupClient-20190419-1324.exe,fix issue that cannot change time UM in New mode
15,ResourceGroupClient-20190419-1442.exe,Fix checkbox issue - save use group defaults incorrectly
16,ResourceGroupClient-20190419-1503.exe,"set search grid columns dynamically based on the Find criteria, with other search form enhancement"
17,ResourceGroupClient-20190419-1513,"do not preserve time when reopen, fix add grid selection"
18,ResourceGroupClient-20190422-0800.exe,"split the sever and client, do not use this version to test, several bugs exists"
19,ResourceGroupClient-20190422-1127.exe,update LookupDataSet and DataSource field to fix several bugs exists
20,ResourceGroupClient-20190422-1317.exe,delete unnecessary messages and disable navigation buttons when remove resource from grid
21,ResourceGroupClient-20190422-1452.exe,update the client to connect remote server
22,ResourceGroupClient-20190422-0327.exe,Order by name when first open
23,ResourceGroupClient-20190422-1646.exe,Fix duplicated name validation
24,ResourceGroupClient-20190422-1707.exe,fix error 'Linkfields to detail must be unique.' in new mode when add resources
25,ResourceGroupClient-20190422-1719.exe,fix error when double clicking in a blank search results grid
26,ResourceGroupClient-20190422-1735.exe,fix error when add resource twice
27,ResourceGroupClient-20190422-1745.exe,"fix search grid when loading the search form for the second time, and reset the screen when exit from search with window close button"
28,ResourceGroupClient-20190423-0917.exe,fix unexpected message 'entity already exists in database; cannot save.' in update mode
29,ResourceGroupClient-20190423-1534.exe,Fix 'Entity already exists in database' poping up when clicking new button
30,ResourceGroupClient-20190423-1622.exe,Fix the above issue
31,ResourceGroupClient-20190423-1716.exe,Still the above issue
32,ResourceGroupClient-20190423-1820.exe,Fix the blank name issue and also change the priority of the messages
33,ResourceGroupClient-20190424-1550.exe,"Spinedit can save correctly when enter value exceed min max value, but error message could not remove"
34,ResourceGroupClient-20190424-1610.exe,remove message when enter value < 0 in spinedit
35,ResourceGroupClient-20190424-1623.exe,Fix issue when doubling click a blank grid the search form will be closed
36,ResourceGroupClient-20190424-1645.exe,fix the issue when updating on a newly created records without time fields populated and then save the update
37,ResourceGroupClient-20190424-1714.exe,Make column name and form title standard in Add Resource(s) form
38,ResourceGroupClient-20190424-1754.exe,Clicking close button now will get the same message as clicking exit button
39,ResourceGroupClient-20190424-1838.exe,Fix onNewRecord issue
40,ResourceGroupClient-20190425-1356.exe,Characters and symbols should not be allowed to enter in Preparation /Cleanup Time field.
41,ResourceGroupClient-20190425-1800.exe,"search form enhancement: only create search form when needed, search grid data is no longer wrapped out before actually close the form, double click on the space field of search grid should not automatically locate the first records in the main form"
42,ResourceGroupClient-20190425-1830.exe,add resource form - do not add record to the main form when double click on the space field of the resources grid
